                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80336,                 1.0988,                 1.2192,                0.94633,                0.93327,                0.96866,                0.83194,                0.65979,                 1.0157,                 1.1868,              0.0096895,              0.0096895,              0.0096895
                     36,                0.79576,                  1.117,                 1.2391,                0.96734,                0.95352,                0.97169,                0.83998,                0.61582,                0.92288,                 1.1408,              0.0096712,              0.0096712,              0.0096712
                     37,                0.76312,                 1.0505,                 1.2131,                0.95333,                0.93406,                0.96059,                0.83516,                0.62574,                0.93659,                 1.1384,              0.0096524,              0.0096524,              0.0096524
                     38,                0.77237,                 1.0508,                 1.1848,                0.97039,                0.96005,                0.96957,                0.84487,                0.61132,                 0.8551,                 1.1401,              0.0096331,              0.0096331,              0.0096331
                     39,                 0.7531,                 1.0501,                 1.2103,                0.96717,                0.96737,                0.96954,                0.84291,                 0.6398,                0.84069,                 1.1581,              0.0096132,              0.0096132,              0.0096132
                     40,                0.74892,                 1.0098,                 1.1818,                0.95974,                0.94692,                0.96509,                 0.8441,                0.59531,                0.95636,                 1.1094,              0.0095929,              0.0095929,              0.0095929
                     41,                0.73055,                 1.0006,                 1.1876,                0.95648,                0.93816,                0.95984,                0.84047,                0.64312,                 1.0269,                 1.1811,              0.0095721,              0.0095721,              0.0095721
                     42,                0.75112,                 1.0059,                  1.191,                0.96246,                0.95465,                0.96948,                0.85187,                0.60113,                0.86093,                 1.1262,              0.0095507,              0.0095507,              0.0095507
                     43,                0.71779,                0.99131,                 1.1853,                0.97485,                0.96266,                0.96765,                0.84561,                0.57249,                0.78876,                 1.1006,              0.0095289,              0.0095289,              0.0095289
                     44,                0.72711,                0.98664,                 1.1643,                0.95734,                0.95536,                0.97199,                0.84582,                0.57976,                0.81495,                 1.1226,              0.0095066,              0.0095066,              0.0095066
                     45,                0.73039,                0.97739,                 1.1713,                0.97664,                0.96262,                0.97108,                0.84643,                0.58476,                0.81087,                  1.104,              0.0094838,              0.0094838,              0.0094838
                     46,                0.72993,                 1.0164,                 1.1755,                0.94704,                0.95052,                0.96807,                0.84089,                0.60886,                 0.8844,                 1.1084,              0.0094605,              0.0094605,              0.0094605
                     47,                0.72578,                0.99199,                 1.1709,                0.97753,                0.95476,                0.97451,                0.85105,                0.57349,                0.79284,                 1.0945,              0.0094367,              0.0094367,              0.0094367
                     48,                0.70024,                0.94575,                 1.1468,                0.97551,                0.95452,                0.97533,                 0.8564,                0.56651,                0.81738,                 1.0939,              0.0094125,              0.0094125,              0.0094125
                     49,                0.70692,                0.94055,                 1.1453,                0.98121,                0.96189,                0.97632,                0.85783,                0.56055,                0.78365,                 1.0846,              0.0093877,              0.0093877,              0.0093877
                     50,                0.70414,                0.94695,                 1.1751,                0.97781,                0.95468,                0.97424,                0.86531,                 0.5378,                0.73388,                 1.0698,              0.0093625,              0.0093625,              0.0093625
                     51,                0.67853,                0.90446,                 1.1385,                0.97651,                0.96281,                0.97819,                 0.8617,                0.57164,                0.72658,                 1.1042,              0.0093368,              0.0093368,              0.0093368
                     52,                0.68594,                0.89884,                 1.1426,                0.97571,                 0.9615,                0.97289,                 0.8619,                0.56248,                 0.7575,                 1.0795,              0.0093107,              0.0093107,              0.0093107
                     53,                0.69483,                0.94276,                 1.1629,                0.97827,                0.96308,                0.97042,                0.85833,                0.56256,                0.73383,                 1.0854,              0.0092841,              0.0092841,              0.0092841
                     54,                0.67799,                0.89859,                 1.1366,                0.97549,                0.95138,                0.97173,                0.86172,                0.55242,                0.78971,                 1.0819,               0.009257,               0.009257,               0.009257
                     55,                0.68882,                0.92249,                 1.1572,                0.97256,                0.96253,                0.97947,                0.86538,                 0.5595,                0.72574,                 1.0791,              0.0092294,              0.0092294,              0.0092294
                     56,                0.68434,                0.90718,                 1.1358,                 0.9764,                 0.9657,                0.97683,                0.86174,                 0.5528,                0.74004,                 1.0842,              0.0092014,              0.0092014,              0.0092014
                     57,                 0.6709,                0.87888,                 1.1344,                0.97585,                0.94501,                 0.9744,                0.85756,                0.59797,                0.75797,                 1.1044,               0.009173,               0.009173,               0.009173
                     58,                0.68536,                0.90869,                 1.1492,                0.98091,                0.96765,                0.97676,                0.86868,                0.52831,                   0.72,                 1.0678,               0.009144,               0.009144,               0.009144
                     59,                0.67013,                0.87118,                 1.1288,                0.96945,                0.96283,                 0.9756,                0.86731,                0.53511,                0.72869,                 1.0664,              0.0091147,              0.0091147,              0.0091147
                     60,                0.65181,                0.83881,                 1.1127,                0.97931,                0.96355,                0.97697,                0.87153,                0.53953,                0.72724,                 1.0697,              0.0090849,              0.0090849,              0.0090849
                     61,                0.67163,                0.88777,                 1.1256,                0.97943,                 0.9665,                0.97762,                0.87117,                0.52727,                0.73495,                 1.0694,              0.0090546,              0.0090546,              0.0090546
                     62,                0.64742,                0.85128,                 1.1004,                 0.9733,                0.96565,                0.97693,                0.87806,                0.51854,                0.70918,                 1.0579,              0.0090239,              0.0090239,              0.0090239
                     63,                0.67044,                0.88725,                 1.1219,                0.97478,                 0.9373,                0.96852,                0.86045,                0.55841,                0.74556,                 1.1116,              0.0089928,              0.0089928,              0.0089928
                     64,                0.66541,                0.84934,                 1.1105,                0.97308,                0.96094,                0.97264,                0.86781,                0.53315,                0.75542,                 1.0624,              0.0089613,              0.0089613,              0.0089613
                     65,                0.64569,                0.85896,                 1.1197,                0.97019,                0.96355,                0.97479,                0.88406,                0.50422,                0.67612,                 1.0275,              0.0089293,              0.0089293,              0.0089293
                     66,                0.63516,                0.85638,                 1.1229,                0.97936,                0.96879,                0.97328,                0.86859,                0.53523,                0.69291,                 1.0652,              0.0088969,              0.0088969,              0.0088969
                     67,                0.67143,                0.85054,                  1.124,                0.97786,                0.96515,                0.97638,                 0.8706,                0.53667,                0.69681,                 1.0879,               0.008864,               0.008864,               0.008864
                     68,                0.63071,                0.83242,                 1.0886,                0.97053,                0.96355,                0.96632,                0.85829,                0.54419,                0.71757,                 1.0706,              0.0088308,              0.0088308,              0.0088308
                     69,                0.64328,                0.86136,                 1.1174,                0.98107,                0.96232,                 0.9798,                0.87904,                0.52501,                0.66399,                 1.0723,              0.0087971,              0.0087971,              0.0087971
                     70,                 0.6324,                0.83695,                 1.1066,                0.98527,                0.96413,                0.97703,                0.87498,                0.51908,                0.64185,                 1.0435,               0.008763,               0.008763,               0.008763
                     71,                0.64507,                0.85573,                 1.1138,                0.97826,                0.96156,                0.97626,                0.88285,                0.51487,                0.69704,                 1.0568,              0.0087286,              0.0087286,              0.0087286
                     72,                0.62979,                0.82058,                 1.0984,                0.98339,                0.95584,                0.97447,                0.87452,                0.51959,                0.67882,                  1.059,              0.0086937,              0.0086937,              0.0086937
                     73,                0.64374,                0.84851,                 1.1029,                0.98628,                0.96402,                0.97462,                0.87205,                 0.5136,                 0.6747,                 1.0525,              0.0086584,              0.0086584,              0.0086584
                     74,                 0.6168,                0.79704,                 1.0851,                0.96639,                0.95801,                0.97243,                0.87158,                0.52763,                0.73003,                 1.0625,              0.0086227,              0.0086227,              0.0086227
                     75,                0.63483,                 0.8262,                 1.0902,                0.98712,                0.96573,                0.97679,                0.87922,                0.50903,                0.67633,                 1.0491,              0.0085866,              0.0085866,              0.0085866
                     76,                0.63591,                0.81473,                  1.099,                0.97079,                0.97505,                0.97571,                0.87899,                0.51312,                0.67186,                  1.058,              0.0085502,              0.0085502,              0.0085502
                     77,                0.63518,                0.80795,                 1.0895,                0.98177,                 0.9691,                0.97433,                 0.8797,                0.49019,                0.66369,                 1.0422,              0.0085133,              0.0085133,              0.0085133
                     78,                0.60848,                0.77669,                 1.0779,                0.98983,                0.96503,                0.97402,                0.88197,                0.48909,                0.66462,                 1.0421,              0.0084761,              0.0084761,              0.0084761
                     79,                0.62123,                 0.8155,                 1.0973,                0.96803,                0.96022,                0.97341,                0.87889,                0.50947,                0.67612,                 1.0548,              0.0084385,              0.0084385,              0.0084385
                     80,                0.61739,                0.80697,                 1.1025,                 0.9746,                0.96864,                0.97568,                0.88302,                0.49416,                0.64751,                 1.0414,              0.0084005,              0.0084005,              0.0084005
                     81,                 0.6031,                0.80097,                 1.0915,                 0.9802,                0.96009,                0.97816,                 0.8893,                0.50264,                0.63124,                 1.0538,              0.0083622,              0.0083622,              0.0083622
                     82,                 0.6166,                0.79626,                 1.1027,                0.97756,                 0.9563,                0.97362,                0.87903,                0.48982,                0.67534,                 1.0462,              0.0083235,              0.0083235,              0.0083235
                     83,                0.61623,                 0.8077,                 1.0821,                0.98255,                0.96202,                0.97772,                0.88687,                0.50397,                0.66095,                 1.0455,              0.0082844,              0.0082844,              0.0082844
                     84,                0.61419,                0.81678,                 1.0878,                0.97357,                 0.9561,                0.97635,                0.88759,                0.48238,                0.63759,                 1.0348,               0.008245,               0.008245,               0.008245
                     85,                0.60753,                0.78799,                 1.0938,                0.97054,                 0.9688,                0.97979,                0.87814,                0.53261,                 0.6587,                 1.0633,              0.0082052,              0.0082052,              0.0082052
                     86,                0.58801,                0.76264,                 1.0732,                 0.9874,                0.96511,                0.97875,                  0.889,                0.49177,                0.62715,                 1.0411,              0.0081651,              0.0081651,              0.0081651
